# location,geometry
Timor-Leste,{{{124.969 -8.89279} {125.086 -8.65689} {125.947 -8.43209} {126.645 -8.39825} {126.957 -8.27334} {127.336 -8.39732} {126.968 -8.66826} {125.926 -9.10601} {125.089 -9.39317} {125.07 -9.08999} {124.969 -8.89279}}}
Turkey,{{{{36.9131 41.3354} {38.3477 40.9486} {39.5126 41.1028} {40.3734 41.0137} {41.5541 41.5357} {42.6195 41.5832} {43.5827 41.0921} {43.7527 40.7402} {43.6564 40.2536} {44.4 40.005} {44.794 39.713} {44.1092 39.4281} {44.4214 38.2813} {44.2258 37.9716} {44.7727 37.1704} {44.2935 37.0015} {43.9423 37.2562} {42.7791 37.3853} {42.3496 37.2299} {41.2121 37.0744} {40.6733 37.0913} {39.5226 36.7161} {38.6999 36.7129} {38.1677 36.9012} {37.0668 36.623} {36.7395 36.8175} {36.6854 36.2597} {36.4176 36.0406} {36.1498 35.8215} {35.7821 36.275} {36.1608 36.6506} {35.5509 36.5654} {34.7146 36.7955} {34.0269 36.22} {32.5092 36.1076} {31.6996 36.6443} {30.6216 36.6779} {30.3911 36.263} {29.7 36.1444} {28.7329 36.6768} {27.6412 36.6588} {27.0488 37.6534} {26.3182 38.2081} {26.8047 38.9858} {26.1708 39.4636} {27.28 40.42} {28.82 40.46} {29.24 41.22} {31.1459 41.0876} {32.348 41.7363} {33.5133 42.019} {35.1677 42.0402} {36.9131 41.3354}}} {{{27.1924 40.6906} {26.358 40.152} {26.0434 40.6178} {26.0569 40.8241} {26.2946 40.9363} {26.6042 41.5621} {26.117 41.8269} {27.1357 42.1415} {27.9967 42.0074} {28.1155 41.6229} {28.9884 41.2999} {28.8064 41.055} {27.619 40.9998} {27.1924 40.6906}}}}
Uzbekistan,{{{66.5186 37.3628} {66.5462 37.9747} {65.216 38.4027} {64.1702 38.8924} {63.518 39.3633} {62.3743 40.0539} {61.8827 41.0849} {61.5472 41.2664} {60.466 41.2203} {60.0833 41.4251} {59.9764 42.2231} {58.629 42.7516} {57.7865 42.1706} {56.9322 41.826} {57.0964 41.3223} {55.9682 41.3086} {55.9289 44.9959} {58.5031 45.5868} {58.69 45.5} {60.24 44.784} {61.0583 44.4058} {62.0133 43.5045} {63.1858 43.6501} {64.9008 43.7281} {66.098 42.9977} {66.0234 41.9946} {66.5106 41.9876} {66.714 41.1684} {67.9859 41.136} {68.2599 40.6623} {68.6325 40.6687} {69.07 41.3842} {70.389 42.0813} {70.9623 42.2662} {71.2592 42.1677} {70.42 41.52} {71.1579 41.1436} {71.8701 41.3929} {73.0554 40.866} {71.7749 40.1458} {71.0142 40.2444} {70.6014 40.2185} {70.4582 40.4965} {70.6666 40.9602} {69.3295 40.7278} {69.0116 40.0862} {68.5364 39.5335} {67.7014 39.5805} {67.4422 39.1401} {68.176 38.9016} {68.392 38.157} {67.83 37.145} {67.0758 37.3561} {66.5186 37.3628}}}
Vietnam,{{{108.05 21.5524} {106.715 20.6969} {105.882 19.7521} {105.662 19.0582} {106.427 18.0041} {107.362 16.6975} {108.269 16.0797} {108.877 15.2767} {109.335 13.426} {109.2 11.6669} {108.366 11.0083} {107.221 10.3645} {106.405 9.53084} {105.158 8.59976} {104.795 9.24104} {105.076 9.91849} {104.334 10.4865} {105.2 10.8893} {106.25 10.9618} {105.811 11.5676} {107.491 12.3372} {107.615 13.5355} {107.383 14.2024} {107.565 15.2022} {107.313 15.9085} {106.556 16.6043} {105.926 17.4853} {105.095 18.667} {103.897 19.2652} {104.183 19.6247} {104.823 19.8866} {104.435 20.7587} {103.204 20.7666} {102.755 21.6751} {102.17 22.4648} {102.707 22.7088} {103.505 22.7038} {104.477 22.8192} {105.329 23.3521} {105.811 22.9769} {106.725 22.7943} {106.567 22.2182} {107.043 21.8119} {108.05 21.5524}}}
Yemen,{{{53.1086 16.6511} {52.3852 16.3824} {52.1917 15.9384} {52.1682 15.5974} {51.1725 15.1752} {49.5746 14.7088} {48.6792 14.0032} {48.2389 13.9481} {47.9389 14.0072} {47.3545 13.5922} {46.7171 13.3997} {45.8776 13.3478} {45.6251 13.2909} {45.4065 13.0269} {45.1444 12.9539} {44.9895 12.6996} {44.4946 12.7217} {44.1751 12.586} {43.483 12.6368} {43.2229 13.221} {43.2514 13.7676} {43.0879 14.0626} {42.8922 14.8022} {42.6049 15.2133} {42.805 15.262} {42.7024 15.7189} {42.8237 15.9117} {42.7793 16.3479} {43.2184 16.6669} {43.1158 17.0884} {43.3808 17.58} {43.7915 17.32} {44.0626 17.4104} {45.2167 17.4333} {45.4 17.3333} {46.3667 17.2333} {46.75 17.2833} {47 16.95} {47.4667 17.1167} {48.1833 18.1667} {49.1167 18.6167} {52 19} {52.7822 17.3497} {53.1086 16.6511}}}
Albania,{{{20.5902 41.8554} {20.4632 41.5151} {20.6052 41.0862} {21.02 40.8427} {21 40.58} {20.675 40.435} {20.615 40.11} {20.15 39.625} {19.98 39.695} {19.96 39.915} {19.4061 40.2508} {19.3191 40.7272} {19.4035 41.4096} {19.54 41.72} {19.3718 41.8775} {19.3045 42.1957} {19.7381 42.6882} {19.8016 42.5001} {20.0707 42.5886} {20.2838 42.3203} {20.523 42.2179} {20.5902 41.8554}}}
Taiwan,{{{121.778 24.3943} {121.176 22.7909} {120.747 21.9706} {120.22 22.8149} {120.106 23.5563} {120.695 24.5385} {121.495 25.2955} {121.951 24.9976} {121.778 24.3943}}}
Austria,{{{16.9797 48.1235} {16.9038 47.7149} {16.3406 47.7129} {16.5343 47.4962} {16.2023 46.8524} {16.0117 46.6836} {15.1371 46.6587} {14.6325 46.4318} {13.8065 46.5093} {12.3765 46.7676} {12.1531 47.1154} {11.1648 46.9416} {11.0486 46.7514} {10.4427 46.8935} {9.93245 46.9207} {9.47997 47.1028} {9.63293 47.3476} {9.59423 47.5251} {9.89607 47.5802} {10.4021 47.3025} {10.5445 47.5664} {11.4264 47.5238} {12.1414 47.7031} {12.6208 47.6724} {12.9326 47.4676} {13.0259 47.6376} {12.8841 48.2891} {13.2434 48.4161} {13.5959 48.8772} {14.3389 48.5553} {14.9014 48.9644} {15.2534 49.0391} {16.0296 48.7339} {16.4993 48.7858} {16.9603 48.597} {16.88 48.47} {16.9797 48.1235}}}
Belgium,{{{3.31497 51.3458} {4.04707 51.2673} {4.97399 51.475} {5.60698 51.0373} {6.15666 50.8037} {6.04307 50.1281} {5.78242 50.0903} {5.67405 49.5295} {4.79922 49.9854} {4.28602 49.9075} {3.58818 50.379} {3.12325 50.7804} {2.65842 50.7968} {2.51357 51.1485} {3.31497 51.3458}}}
Bulgaria,{{{22.6571 44.2349} {22.9448 43.8238} {23.3323 43.897} {24.1007 43.7411} {25.5693 43.6884} {26.0652 43.9435} {27.2424 44.176} {27.9701 43.8125} {28.5581 43.7075} {28.0391 43.2932} {27.6739 42.5779} {27.9967 42.0074} {27.1357 42.1415} {26.117 41.8269} {26.1061 41.3289} {25.1972 41.2345} {24.4926 41.5839} {23.6921 41.3091} {22.9524 41.338} {22.8814 41.9993} {22.3805 42.3203} {22.545 42.4614} {22.4366 42.5803} {22.6048 42.8985} {22.986 43.2112} {22.5002 43.6428} {22.4104 44.0081} {22.6571 44.2349}}}
Bosnia and Herzegovina,{{{19.0055 44.8602} {19.368 44.863} {19.1176 44.4231} {19.5998 44.0385} {19.454 43.5681} {19.2185 43.5238} {19.0316 43.4325} {18.7065 43.2001} {18.56 42.65} {17.6749 43.0286} {17.2974 43.4463} {16.9162 43.6677} {16.4564 44.0412} {16.2397 44.3511} {15.75 44.8187} {15.9594 45.2338} {16.3182 45.0041} {16.5349 45.2116} {17.0021 45.2338} {17.8618 45.0677} {18.5532 45.0816} {19.0055 44.8602}}}
Belarus,{{{23.4841 53.9125} {24.4507 53.9057} {25.5364 54.2824} {25.7684 54.847} {26.5883 55.1672} {26.4943 55.6151} {27.1025 55.7833} {28.1767 56.1691} {29.2295 55.9183} {29.3716 55.6701} {29.8963 55.7895} {30.8739 55.551} {30.9718 55.0815} {30.7575 54.8118} {31.3845 54.1571} {31.7914 53.9746} {31.7313 53.794} {32.4056 53.618} {32.6936 53.3514} {32.3045 53.1327} {31.4976 53.1674} {31.3052 53.074} {31.54 52.7421} {31.786 52.1017} {30.9275 52.0424} {30.6195 51.8228} {30.5551 51.3195} {30.1574 51.4161} {29.2549 51.3682} {28.9928 51.602} {28.6176 51.4277} {28.2416 51.5722} {27.4541 51.5923} {26.338 51.8323} {25.3278 51.9107} {24.5531 51.8885} {24.0051 51.6174} {23.5271 51.5785} {23.508 52.0236} {23.1995 52.487} {23.7992 52.6911} {23.8049 53.0897} {23.5275 53.4701} {23.4841 53.9125}}}
Switzerland,{{{9.59423 47.5251} {9.63293 47.3476} {9.47997 47.1028} {9.93245 46.9207} {10.4427 46.8935} {10.3634 46.4836} {9.92284 46.3149} {9.18288 46.4402} {8.96631 46.0369} {8.48995 46.0052} {8.31663 46.1636} {7.75599 45.8245} {7.27385 45.7769} {6.84359 45.9911} {6.5001 46.4297} {6.02261 46.273} {6.03739 46.7258} {6.76871 47.2877} {6.73657 47.5418} {7.1922 47.4498} {7.46676 47.6206} {8.3173 47.6136} {8.52261 47.8308} {9.59423 47.5251}}}
Czech Republic,{{{16.9603 48.597} {16.4993 48.7858} {16.0296 48.7339} {15.2534 49.0391} {14.9014 48.9644} {14.3389 48.5553} {13.5959 48.8772} {13.0313 49.3071} {12.521 49.5474} {12.4152 49.9691} {12.2401 50.2663} {12.9668 50.4841} {13.3381 50.7332} {14.0562 50.9269} {14.307 51.1173} {14.5707 51.0023} {15.017 51.1067} {15.491 50.7847} {16.2386 50.6977} {16.1763 50.4226} {16.7195 50.2157} {16.8688 50.474} {17.5546 50.3621} {17.6494 50.049} {18.3929 49.9886} {18.8531 49.4962} {18.555 49.495} {18.4 49.315} {18.1705 49.2715} {18.105 49.044} {17.9135 48.9965} {17.8865 48.9035} {17.545 48.8} {17.102 48.817} {16.9603 48.597}}}
Germany,{{{9.92191 54.9831} {9.93958 54.5966} {10.9501 54.3636} {10.9395 54.0087} {11.9563 54.1965} {12.5184 54.4704} {13.6475 54.0755} {14.1197 53.757} {14.3533 53.2482} {14.0745 52.9813} {14.4376 52.6249} {14.685 52.0899} {14.6071 51.7452} {15.017 51.1067} {14.5707 51.0023} {14.307 51.1173} {14.0562 50.9269} {13.3381 50.7332} {12.9668 50.4841} {12.2401 50.2663} {12.4152 49.9691} {12.521 49.5474} {13.0313 49.3071} {13.5959 48.8772} {13.2434 48.4161} {12.8841 48.2891} {13.0259 47.6376} {12.9326 47.4676} {12.6208 47.6724} {12.1414 47.7031} {11.4264 47.5238} {10.5445 47.5664} {10.4021 47.3025} {9.89607 47.5802} {9.59423 47.5251} {8.52261 47.8308} {8.3173 47.6136} {7.46676 47.6206} {7.59368 48.333} {8.09928 49.0178} {6.65823 49.202} {6.18632 49.4638} {6.24275 49.9022} {6.04307 50.1281} {6.15666 50.8037} {5.98866 51.8516} {6.5894 51.852} {6.84287 52.2284} {7.09205 53.144} {6.90514 53.4822} {7.10042 53.6939} {7.93624 53.7483} {8.12171 53.5278} {8.80073 54.0208} {8.57212 54.3956} {8.52623 54.9627} {9.28205 54.8309} {9.92191 54.9831}}}
Denmark,{{{{12.69 55.61} {12.09 54.8} {11.0435 55.3649} {10.9039 55.78} {12.3709 56.1114} {12.69 55.61}}} {{{10.9122 56.4586} {10.6678 56.0814} {10.37 56.19} {9.64998 55.47} {9.92191 54.9831} {9.28205 54.8309} {8.52623 54.9627} {8.12031 55.5177} {8.08998 56.54} {8.25658 56.81} {8.54344 57.11} {9.42447 57.1721} {9.77556 57.4479} {10.58 57.73} {10.5461 57.2157} {10.25 56.89} {10.37 56.61} {10.9122 56.4586}}}}
Spain,{{{-9.03482 41.8806} {-8.98443 42.5928} {-9.39288 43.0266} {-7.97819 43.7483} {-6.75449 43.5679} {-5.41189 43.5742} {-4.34784 43.4034} {-3.51753 43.4559} {-1.90135 43.4228} {-1.50277 43.034} {0.338047 42.5795} {0.701591 42.7957} {1.82679 42.3434} {2.986 42.473} {3.03948 41.8921} {2.09184 41.2261} {0.810525 41.0147} {0.721331 40.6783} {0.106692 40.1239} {-0.278711 39.31} {0.111291 38.7385} {-0.467124 38.2924} {-0.683389 37.6424} {-1.43838 37.4431} {-2.14645 36.6741} {-3.41578 36.6589} {-4.3689 36.6778} {-4.99522 36.3247} {-5.37716 35.9469} {-5.86643 36.0298} {-6.23669 36.3677} {-6.52019 36.9429} {-7.45373 37.0978} {-7.53711 37.4289} {-7.16651 37.8039} {-7.02928 38.0758} {-7.37409 38.3731} {-7.09804 39.0301} {-7.49863 39.6296} {-7.06659 39.7119} {-7.02641 40.1845} {-6.86402 40.3309} {-6.85113 41.1111} {-6.38909 41.3818} {-6.66861 41.8834} {-7.25131 41.9183} {-7.42251 41.7921} {-8.01317 41.7909} {-8.26386 42.2805} {-8.67195 42.1347} {-9.03482 41.8806}}}
Estonia,{{{24.3129 57.7934} {24.4289 58.3834} {24.0612 58.2574} {23.4266 58.6128} {23.3398 59.1872} {24.6042 59.4659} {25.8642 59.6111} {26.9491 59.4458} {27.9811 59.4754} {28.1317 59.3008} {27.4202 58.7246} {27.7167 57.7919} {27.2882 57.4745} {26.4635 57.4764} {25.6028 57.8475} {25.1646 57.9702} {24.3129 57.7934}}}
Finland,{{{28.5919 69.0648} {28.4459 68.3646} {29.9774 67.6983} {29.0546 66.9443} {30.2176 65.806} {29.5444 64.9487} {30.4447 64.2045} {30.0359 63.5528} {31.5161 62.8677} {31.14 62.3577} {30.2111 61.78} {28.07 60.5035} {26.2552 60.424} {24.4966 60.0573} {22.8697 59.8464} {22.2908 60.3919} {21.3222 60.7202} {21.5449 61.7053} {21.0592 62.6074} {21.536 63.1897} {22.4427 63.8178} {24.7305 64.9023} {25.3981 65.1114} {25.294 65.5343} {23.9034 66.0069} {23.5659 66.3961} {23.5395 67.936} {21.9785 68.6168} {20.6456 69.1062} {21.2449 69.3704} {22.3562 68.8417} {23.662 68.8912} {24.7357 68.6496} {25.6892 69.0921} {26.1796 69.8253} {27.7323 70.1642} {29.0156 69.7665} {28.5919 69.0648}}}
France,{{{{-52.5564 2.50471} {-52.9397 2.12486} {-53.4185 2.05339} {-53.5548 2.3349} {-53.7785 2.3767} {-54.0881 2.10556} {-54.5248 2.31185} {-54.2712 2.73875} {-54.1843 3.19417} {-54.0115 3.62257} {-54.3995 4.21261} {-54.4786 4.89676} {-53.958 5.75655} {-53.6185 5.64653} {-52.8821 5.40985} {-51.8233 4.56577} {-51.6578 4.15623} {-52.2493 3.24109} {-52.5564 2.50471}}} {{{9.56002 42.1525} {9.22975 41.38} {8.77572 41.5836} {8.54421 42.2565} {8.74601 42.6281} {9.39 43.01} {9.56002 42.1525}}} {{{3.58818 50.379} {4.28602 49.9075} {4.79922 49.9854} {5.67405 49.5295} {5.89776 49.4427} {6.18632 49.4638} {6.65823 49.202} {8.09928 49.0178} {7.59368 48.333} {7.46676 47.6206} {7.1922 47.4498} {6.73657 47.5418} {6.76871 47.2877} {6.03739 46.7258} {6.02261 46.273} {6.5001 46.4297} {6.84359 45.9911} {6.80236 45.7086} {7.09665 45.3331} {6.74996 45.0285} {7.00756 44.2548} {7.5496 44.1279} {7.43518 43.6938} {6.52925 43.1289} {4.55696 43.3997} {3.10041 43.0752} {2.986 42.473} {1.82679 42.3434} {0.701591 42.7957} {0.338047 42.5795} {-1.50277 43.034} {-1.90135 43.4228} {-1.38423 44.0226} {-1.1938 46.0149} {-2.22572 47.0644} {-2.96328 47.5703} {-4.49155 47.955} {-4.59235 48.6842} {-3.29581 48.9017} {-1.61651 48.6444} {-1.93349 49.7763} {-0.989469 49.3474} {1.33876 50.1272} {1.639 50.9466} {2.51357 51.1485} {2.65842 50.7968} {3.12325 50.7804} {3.58818 50.379}}}}
United Kingdom,{{{{-5.66195 54.5546} {-6.19788 53.8676} {-6.95373 54.0737} {-7.57217 54.06} {-7.36603 54.5958} {-7.57217 55.1316} {-6.73385 55.1729} {-5.66195 54.5546}}} {{{-3.005 58.635} {-4.07383 57.553} {-3.055 57.69} {-1.95928 57.6848} {-2.21999 56.87} {-3.119 55.9738} {-2.08501 55.91} {-2.00568 55.8049} {-1.11499 54.625} {-0.430485 54.4644} {0.184981 53.325} {0.469977 52.93} {1.68153 52.7395} {1.55999 52.1} {1.05056 51.8068} {1.44987 51.2894} {0.550334 50.7657} {-0.787517 50.775} {-2.49 50.5} {-2.95627 50.6969} {-3.61745 50.2284} {-4.54251 50.3418} {-5.24502 49.96} {-5.77657 50.1597} {-4.30999 51.21} {-3.41485 51.426} {-3.42272 51.4268} {-4.98437 51.5935} {-5.2673 51.9914} {-4.22235 52.3014} {-4.77001 52.84} {-4.58 53.495} {-3.09383 53.4045} {-3.09208 53.4044} {-2.94501 53.985} {-3.6147 54.6009} {-3.63001 54.615} {-4.84417 54.791} {-5.08253 55.0616} {-4.71911 55.5085} {-5.04798 55.784} {-5.5864 55.3111} {-5.645 56.275} {-6.14998 56.785} {-5.78682 57.8188} {-5.01 58.63} {-4.21149 58.5508} {-3.005 58.635}}}}
Greece,{{{{23.7 35.705} {24.2467 35.368} {25.025 35.425} {25.7692 35.354} {25.745 35.18} {26.29 35.3} {26.165 35.005} {24.725 34.92} {24.735 35.085} {23.515 35.28} {23.7 35.705}}} {{{26.6042 41.5621} {26.2946 40.9363} {26.0569 40.8241} {25.4477 40.8525} {24.9258 40.9471} {23.7148 40.6871} {24.408 40.125} {23.9 39.962} {23.343 39.961} {22.814 40.476} {22.6263 40.2566} {22.8497 39.6593} {23.35 39.19} {22.9731 38.9709} {23.53 38.51} {24.025 38.22} {24.04 37.655} {23.115 37.92} {23.41 37.41} {22.775 37.305} {23.1542 36.4225} {22.49 36.41} {21.67 36.845} {21.295 37.645} {21.12 38.3103} {20.73 38.77} {20.2177 39.3402} {20.15 39.625} {20.615 40.11} {20.675 40.435} {21 40.58} {21.02 40.8427} {21.6742 40.9313} {22.0554 41.1499} {22.5973 41.1305} {22.7618 41.3048} {22.9524 41.338} {23.6921 41.3091} {24.4926 41.5839} {25.1972 41.2345} {26.1061 41.3289} {26.117 41.8269} {26.6042 41.5621}}}}
Croatia,{{{18.8298 45.9089} {19.0728 45.5215} {19.3905 45.2365} {19.0055 44.8602} {18.5532 45.0816} {17.8618 45.0677} {17.0021 45.2338} {16.5349 45.2116} {16.3182 45.0041} {15.9594 45.2338} {15.75 44.8187} {16.2397 44.3511} {16.4564 44.0412} {16.9162 43.6677} {17.2974 43.4463} {17.6749 43.0286} {18.56 42.65} {18.45 42.48} {17.51 42.85} {16.93 43.21} {16.0154 43.5072} {15.1745 44.2432} {15.3763 44.3179} {14.9203 44.7385} {14.9016 45.0761} {14.2587 45.2338} {13.9523 44.8021} {13.657 45.1369} {13.6794 45.4841} {13.7151 45.5003} {14.412 45.4662} {14.5951 45.6349} {14.9352 45.4717} {15.3277 45.4523} {15.324 45.7318} {15.6715 45.8342} {15.7687 46.2381} {16.5648 46.5038} {16.8825 46.3806} {17.6301 45.9518} {18.4561 45.7595} {18.8298 45.9089}}}
Hungary,{{{16.2023 46.8524} {16.5343 47.4962} {16.3406 47.7129} {16.9038 47.7149} {16.9797 48.1235} {17.4885 47.8675} {17.8571 47.7584} {18.6965 47.881} {18.777 48.0818} {19.1744 48.1114} {19.6614 48.2666} {19.7695 48.2027} {20.2391 48.3276} {20.4736 48.5629} {20.8013 48.6239} {21.8722 48.32} {22.0856 48.4223} {22.6408 48.1502} {22.7105 47.8822} {22.0998 47.6724} {21.6265 46.9942} {21.022 46.3161} {20.2202 46.1275} {19.596 46.1717} {18.8298 45.9089} {18.4561 45.7595} {17.6301 45.9518} {16.8825 46.3806} {16.5648 46.5038} {16.3705 46.8413} {16.2023 46.8524}}}
Ireland,{{{-6.19788 53.8676} {-6.03299 53.1532} {-6.78886 52.2601} {-8.56162 51.6693} {-9.97709 51.8205} {-9.16628 52.8646} {-9.68852 53.8814} {-8.32799 54.6645} {-7.57217 55.1316} {-7.36603 54.5958} {-7.57217 54.06} {-6.95373 54.0737} {-6.19788 53.8676}}}
Iceland,{{{-14.5087 66.4559} {-14.7396 65.8087} {-13.6097 65.1267} {-14.9098 64.3641} {-17.7944 63.6787} {-18.6562 63.4964} {-19.9728 63.6436} {-22.763 63.9602} {-21.7785 64.4021} {-23.955 64.8911} {-22.1844 65.085} {-22.2274 65.3786} {-24.3262 65.6112} {-23.6505 66.2625} {-22.1349 66.4105} {-20.5763 65.7321} {-19.0568 66.2766} {-17.7986 65.9939} {-16.1678 66.5268} {-14.5087 66.4559}}}
Italy,{{{{15.5204 38.2312} {15.1602 37.444} {15.3099 37.1342} {15.1 36.62} {14.3352 36.9966} {13.8267 37.1045} {12.431 37.6129} {12.5709 38.1264} {13.7412 38.035} {14.7612 38.1439} {15.5204 38.2312}}} {{{9.21001 41.21} {9.80998 40.5} {9.66952 39.1774} {9.21482 39.2405} {8.80694 38.9066} {8.4283 39.1718} {8.38825 40.3783} {8.16 40.95} {8.70999 40.9} {9.21001 41.21}}} {{{12.3765 46.7676} {13.8065 46.5093} {13.6981 46.0168} {13.9376 45.591} {13.1416 45.7367} {12.3286 45.3818} {12.3839 44.8854} {12.2615 44.6005} {12.5892 44.0914} {13.5269 43.5877} {14.0298 42.761} {15.1426 41.9551} {15.9262 41.9613} {16.1699 41.7403} {15.8893 41.5411} {16.785 41.1796} {17.5192 40.8771} {18.3767 40.3556} {18.4802 40.1689} {18.2934 39.8108} {17.7384 40.2777} {16.8696 40.4422} {16.4487 39.7954} {17.1715 39.4247} {17.0528 38.9029} {16.6351 38.8436} {16.101 37.9859} {15.6841 37.9088} {15.688 38.2146} {15.892 38.7509} {16.1093 38.9645} {15.7188 39.5441} {15.4136 40.0484} {14.9985 40.1729} {14.7033 40.6046} {14.0607 40.7863} {13.628 41.1883} {12.8881 41.2531} {12.1067 41.7045} {11.1919 42.3554} {10.5119 42.9315} {10.2 43.92} {9.70249 44.0363} {8.88895 44.3663} {8.42856 44.2312} {7.85077 43.7671} {7.43518 43.6938} {7.5496 44.1279} {7.00756 44.2548} {6.74996 45.0285} {7.09665 45.3331} {6.80236 45.7086} {6.84359 45.9911} {7.27385 45.7769} {7.75599 45.8245} {8.31663 46.1636} {8.48995 46.0052} {8.96631 46.0369} {9.18288 46.4402} {9.92284 46.3149} {10.3634 46.4836} {10.4427 46.8935} {11.0486 46.7514} {11.1648 46.9416} {12.1531 47.1154} {12.3765 46.7676}}}}
Kosovo,{{{20.7622 42.0519} {20.7173 41.8471} {20.5902 41.8554} {20.523 42.2179} {20.2837 42.3203} {20.0707 42.5886} {20.2576 42.8128} {20.4968 42.8847} {20.6351 43.2167} {20.8145 43.2721} {20.9565 43.1309} {21.1434 43.0687} {21.2742 42.9096} {21.4387 42.8625} {21.633 42.6772} {21.7751 42.6827} {21.6629 42.4392} {21.5433 42.3203} {21.5766 42.2452} {21.3527 42.2068} {20.7622 42.0519}}}
Lithuania,{{{22.7311 54.3275} {22.6511 54.5827} {22.7578 54.8566} {22.3157 55.0153} {21.2684 55.1905} {21.0558 56.0311} {22.2012 56.3378} {23.8783 56.2737} {24.8607 56.3725} {25.0009 56.1645} {25.533 56.1003} {26.4943 55.6151} {26.5883 55.1672} {25.7684 54.847} {25.5364 54.2824} {24.4507 53.9057} {23.4841 53.9125} {23.244 54.2206} {22.7311 54.3275}}}
Luxembourg,{{{6.04307 50.1281} {6.24275 49.9022} {6.18632 49.4638} {5.89776 49.4427} {5.67405 49.5295} {5.78242 50.0903} {6.04307 50.1281}}}
Latvia,{{{21.0558 56.0311} {21.0904 56.7839} {21.5819 57.4119} {22.5243 57.7534} {23.3185 57.0062} {24.1207 57.0257} {24.3129 57.7934} {25.1646 57.9702} {25.6028 57.8475} {26.4635 57.4764} {27.2882 57.4745} {27.77 57.2443} {27.8553 56.7593} {28.1767 56.1691} {27.1025 55.7833} {26.4943 55.6151} {25.533 56.1003} {25.0009 56.1645} {24.8607 56.3725} {23.8783 56.2737} {22.2012 56.3378} {21.0558 56.0311}}}
Moldova,{{{26.6193 48.2207} {26.8578 48.3682} {27.5225 48.4671} {28.2595 48.1556} {28.6709 48.1181} {29.1227 47.8491} {29.0509 47.5102} {29.4151 47.3466} {29.5597 46.9286} {29.9089 46.6744} {29.8382 46.5253} {30.0247 46.4239} {29.76 46.35} {29.1707 46.3793} {29.0721 46.5177} {28.863 46.4379} {28.9337 46.2588} {28.66 45.94} {28.4853 45.5969} {28.2336 45.4883} {28.0544 45.9446} {28.16 46.3716} {28.128 46.8105} {27.5512 47.4051} {27.2339 47.8268} {26.9242 48.1233} {26.6193 48.2207}}}
Macedonia,{{{20.5902 41.8554} {20.7173 41.8471} {20.7622 42.0519} {21.3527 42.2068} {21.5766 42.2452} {21.9171 42.3036} {22.3805 42.3203} {22.8814 41.9993} {22.9524 41.338} {22.7618 41.3048} {22.5973 41.1305} {22.0554 41.1499} {21.6742 40.9313} {21.02 40.8427} {20.6052 41.0862} {20.4631 41.5151} {20.5902 41.8554}}}
Montenegro,{{{19.8016 42.5001} {19.7381 42.6882} {19.3045 42.1957} {19.3718 41.8775} {19.1625 41.955} {18.8821 42.2815} {18.45 42.48} {18.56 42.65} {18.7065 43.2001} {19.0316 43.4325} {19.2185 43.5238} {19.4839 43.3523} {19.63 43.2138} {19.9586 43.106} {20.3398 42.8985} {20.2576 42.8128} {20.0707 42.5886} {19.8016 42.5001}}}
Netherlands,{{{6.07418 53.5104} {6.90514 53.4822} {7.09205 53.144} {6.84287 52.2284} {6.5894 51.852} {5.98866 51.8516} {6.15666 50.8037} {5.60698 51.0373} {4.97399 51.475} {4.04707 51.2673} {3.31497 51.3458} {3.83029 51.6205} {4.706 53.0918} {6.07418 53.5104}}}
Norway,{{{{28.1655 71.1855} {31.2934 70.4538} {30.0054 70.1863} {31.1011 69.5581} {29.3996 69.1569} {28.5919 69.0648} {29.0156 69.7665} {27.7323 70.1642} {26.1796 69.8253} {25.6892 69.0921} {24.7357 68.6496} {23.662 68.8912} {22.3562 68.8417} {21.2449 69.3704} {20.6456 69.1062} {20.0253 69.0651} {19.8786 68.4072} {17.9939 68.5674} {17.7292 68.0106} {16.7689 68.0139} {16.1087 67.3025} {15.1084 66.1939} {13.5557 64.787} {13.9199 64.4454} {13.5719 64.0491} {12.5799 64.0662} {11.9306 63.1283} {11.9921 61.8004} {12.6311 61.2936} {12.3004 60.1179} {11.4683 59.4324} {11.0274 58.8561} {10.3566 59.4698} {8.382 58.3133} {7.04875 58.0789} {5.66584 58.5882} {5.30823 59.6632} {4.99208 61.971} {5.9129 62.6145} {8.55341 63.454} {10.5277 64.486} {12.3583 65.8797} {14.7611 67.8106} {16.4359 68.5632} {19.184 69.8174} {21.3784 70.2552} {23.0237 70.2021} {24.5465 71.0305} {26.37 70.9863} {28.1655 71.1855}}} {{{24.7241 77.8538} {22.4903 77.4449} {20.726 77.677} {21.4161 77.935} {20.8119 78.2546} {22.8843 78.4549} {23.2813 78.0795} {24.7241 77.8538}}} {{{18.2518 79.7018} {21.5438 78.9561} {19.0274 78.5626} {18.4717 77.8267} {17.5944 77.638} {17.1182 76.8094} {15.9131 76.7704} {13.7626 77.3804} {14.6696 77.7357} {13.1706 78.0249} {11.2223 78.8693} {10.4445 79.6524} {13.1708 80.0105} {13.7185 79.6604} {15.1428 79.6743} {15.5226 80.0161} {16.9908 80.0509} {18.2518 79.7018}}} {{{25.4476 80.4073} {27.4075 80.0564} {25.9247 79.5178} {23.0245 79.4} {20.0752 79.5668} {19.8973 79.8424} {18.4623 79.8599} {17.368 80.3189} {20.456 80.5982} {21.9079 80.3577} {22.9193 80.6571} {25.4476 80.4073}}}}
